Category;EXXXXX;Equities;Financial instruments representing an ownership interest in an entity or pool of assets.
AttributeValue;CPCXXX;C;Closed-end [units are sold on either an organized exchange or in the over-the-counter (OTC) market and are usually not redeemed];
AttributeValue;CPOXXX;O;Open-end (funds permanently sell new units to the public and redeem outstanding units on demand, resulting in an increase or decrease of outstanding capital);
AttributeValue;CPMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Distribution policy;Distribution policy (indicates the fund's normal distribution policy);
AttributeValue;CPXIXX;I;Income funds (the fund regularly distributes its investment profits);
AttributeValue;CPXGXX;G;Accumulation funds (the fund normally reinvests its investment profits);
AttributeValue;CPXJXX;J;Mixed funds (investment profits are partly distributed, partly reinvested);
Attribute;ThirdAttribute;Assets;indicates the underlying assets in which the fund invests;
AttributeValue;CPXXRX;R;Real estate;
AttributeValue;CPXXBX;B;Debt instruments (fund invests in debt instrument regardless of maturity);
AttributeValue;CPXXEX;E;Equities;
AttributeValue;CPXXVX;V;Convertible securities;
AttributeValue;CPXXLX;L;Mixed (fund invests in different assets);
AttributeValue;CPXXCX;C;Commodities;
AttributeValue;CPXXDX;D;Derivatives  (Fund invests in derivatives.);
AttributeValue;CPXXFX;F;Referential instruments excluding commodities;
AttributeValue;CPXXKX;K;"Credits [contractual agreement in which a borrower receives something of value (good, service or money) now and agrees to repay the lender at some date in the future, generally with interest; CIVs normally invest in credits originated by third parties; credits are not freely transferable like debt securities]";
AttributeValue;CPXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Security type and investor restrictions;;
AttributeValue;CPXXXS;S;Shares (retail and/or qualified/institutional/professional investors);
AttributeValue;CPXXXQ;Q;Shares for QI (qualified/institutional/professional investors only);
AttributeValue;CPXXXU;U;Units (retail and/or qualified/institutional/professional investors);
AttributeValue;CPXXXY;Y;Units for QI (qualified/institutional/professional investors only);
Group;CMXXXX;Others (miscellaneous);"CIVs which do not fit into any of the Groups described between standard (vanilla) investment funds/mutual funds and private equity funds";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;CMXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;CMXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;CMXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Security type and investor restrictions;;
AttributeValue;CMXXXS;S;Shares (retail and/or qualified/institutional/professional investors);
AttributeValue;CMXXXQ;Q;Shares for QI (qualified/institutional/professional investors only);
AttributeValue;CMXXXU;U;Units (retail and/or qualified/institutional/professional investors);
AttributeValue;CMXXXY;Y;Units for QI (qualified/institutional/professional investors only);
Category;DXXXXX;Debt instruments;Financial instruments evidencing monies owed by the issuer to the holder on terms as specified.
Group;DBXXXX;Bonds;"Any interest-bearing or discounted security that normally obliges the issuer to pay the bondholder a contracted sum of money and to repay the principal amount of the debt.";
Attribute;FirstAttribute;Type of interest or cash payment;;
AttributeValue;DBFXXX;F;Fixed rate  (all interest payments are known at issuance and remain constant for the life of the issue);
AttributeValue;DBZXXX;Z;"Zero rate/discounted [no periodical interest payments are made; the interest charge (discount) is the difference between maturity value and proceeds at time of acquisition]";
AttributeValue;DBVXXX;V;"Variable (the interest rate is subject to adjustment through the life of the issue; includes graduated, i.e. step-up/step-down, floating and indexed interest rates)";
AttributeValue;DBCXXX;C;"Cash payment (this attribute applies only for sukuk certificates; a sukuk takes place when a set of investors pool their wealth to invest in accordance with sharia principles to earn profits which are then distributed pro rata)";
AttributeValue;DBKXXX;K;Payment in kind (pays interest using other assets instead of cash);
Attribute;SecondAttribute;Guarantee or ranking;indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured): Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.;
AttributeValue;DBXTXX;T;Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies];
AttributeValue;DBXGXX;G;"Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government]";
AttributeValue;DBXSXX;S;Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables);
AttributeValue;DBXUXX;U;Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit);
AttributeValue;DBXPXX;P;Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders);
AttributeValue;DBXNXX;N;Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DBXOXX;O;Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DBXQXX;Q;Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation);
AttributeValue;DBXJXX;J;Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation);
AttributeValue;DBXCXX;C;Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank);
Attribute;ThirdAttribute;Redemption/reimbursement;indicates the retirement provisions made for the debt issue;
AttributeValue;DBXXFX;F;Fixed maturity (the principal amount is repaid in full at maturity);
AttributeValue;DBXXGX;G;Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date);
AttributeValue;DBXXCX;C;Fixed maturity with put feature (the holder may request the reimbursement of his bonds prior to the maturity date);
AttributeValue;DBXXDX;D;Fixed maturity with put and call;
AttributeValue;DBXXAX;A;Amortization plan (reduction of principal by regular payments);
AttributeValue;DBXXBX;B;Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called);
AttributeValue;DBXXTX;T;Amortization plan with put feature;
AttributeValue;DBXXLX;L;Amortization plan with put and call;
AttributeValue;DBXXPX;P;Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation);
AttributeValue;DBXXQX;Q;Perpetual with call feature (the issue may be called for redemption at some time in the future);
AttributeValue;DBXXRX;R;Perpetual with put feature (the issue may be puttable for redemption at some time in the future);
AttributeValue;DBXXEX;E;Extendible;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;DBXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;DBXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;DBXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;DBXXXM;M;Others (miscellaneous);
Group;DCXXXX;Convertible bonds;"A bond that can be converted into other securities.";
Attribute;FirstAttribute;Type of interest or cash payment;;
AttributeValue;DCFXXX;F;Fixed rate (all interest payments are known at issuance and remain constant for the life of the issue);
AttributeValue;DCZXXX;Z;"Zero rate/discounted [no periodical interest payments are made; the interest charge (discount) is the difference between maturity value and proceeds at time of acquisition]";
